company_id,company_name,t,deal_id,deal_date,raw_stage,obs_token,deal_size_usd_mn,log_raise,company_revenue_curr_mn,delta_days,is_last_event
614340,TR Corporation,1,V366512,2022-02-01,Seed,Seed,0.42,0.35065687161316933,,,0
614340,TR Corporation,2,V366510,2022-05-09,Seed,Seed,0.08,0.07696104113612832,,,0
614340,TR Corporation,3,V366428,2023-12-28,Unspecified Round,UNSPEC,0.58,0.4574248470388754,,,0
614340,TR Corporation,4,V435043,2024-12-22,Unspecified Round,UNSPEC,0.17,0.15700374880966475,,,0
614340,TR Corporation,5,V435044,2025-01-03,Unspecified Round,UNSPEC,0.34,0.29266961396282,,339.0,1
614369,Zuoxin Medical Technology,1,V366442,2024-01-01,Add-on,ADDON,19.95,3.0421386463681466,,707.0,1
614372,PRCXI,1,V376965,2023-10-13,Angel,ANGEL,,,,,0
614372,PRCXI,2,V366444,2024-01-02,Unspecified Round,UNSPEC,,,,,0
614372,PRCXI,3,V376966,2024-04-08,Unspecified Round,UNSPEC,,,,609.0,1
614595,Avatarget,1,V366626,2022-07-29,Unspecified Round,UNSPEC,14.83,2.761906873892921,,,0
614595,Avatarget,2,V366631,2023-12-29,Unspecified Round,UNSPEC,,,,710.0,1
614606,"NeU Co., Ltd",1,V366646,2017-07-21,Unspecified Round,UNSPEC,3.22,1.4398351280479205,,3062.0,1
614618,AiMingMed,1,V392046,2021-10-21,Unspecified Round,UNSPEC,,,,,0
614618,AiMingMed,2,V366658,2022-11-07,Unspecified Round,UNSPEC,,,,,0
614618,AiMingMed,3,V366659,2024-01-03,Unspecified Round,UNSPEC,,,,705.0,1
614732,Glooma,1,V368738,2023-03-27,Unspecified Round,UNSPEC,1.09,0.7371640659767197,,,0
614732,Glooma,2,V368750,2023-06-01,Unspecified Round,UNSPEC,,,,,0
614732,Glooma,3,V368756,2023-12-29,Unspecified Round,UNSPEC,0.36,0.3074846997479606,,710.0,1
614743,LarkAI Healthcare Pvt. Ltd.,1,V366752,2024-01-03,Seed,Seed,,,1.01,705.0,1
614809,Wiserscope,1,V366839,2020-10-01,Angel,ANGEL,1.47,0.9042181506398859,,,0
614809,Wiserscope,2,V366841,2021-07-01,Unspecified Round,UNSPEC,,,,,0
614809,Wiserscope,3,V366842,2022-07-01,Unspecified Round,UNSPEC,,,,,0
614809,Wiserscope,4,V366844,2024-01-04,Series A,Series A,,,,704.0,1
614826,ANTO Therapeutics,1,V366849,2023-12-29,Angel,ANGEL,,,,710.0,1
614850,Miracle,1,V366903,2023-12-29,Angel,ANGEL,,,,710.0,1
614867,Manina Medtech S.L.,1,V366913,2024-01-03,Unspecified Round,UNSPEC,1.92,1.0715836162801904,,705.0,1
614944,OnCusp Therapeutics,1,V366959,2021-06-29,Seed,Seed,25.0,3.258096538021482,,,0
614944,OnCusp Therapeutics,2,V366960,2024-01-04,Series A,Series A,100.0,4.61512051684126,,704.0,1
614986,Convalife,1,V366977,2019-12-22,Angel,ANGEL,,,,,0
614986,Convalife,2,V366978,2020-08-06,Unspecified Round,UNSPEC,,,,,0
614986,Convalife,3,V366980,2021-04-09,Series A,Series A,15.29,2.790551422613954,,,0
614986,Convalife,4,V367012,2023-01-01,Series B,Series B,14.62,2.7485521444115397,,,0
614986,Convalife,5,V367014,2024-01-04,Series C,Series C,14.04,2.7107133185216936,,704.0,1
615003,ZOO LABO inc.,1,V366991,2023-12-28,Series A,Series A,2.42,1.2296405510745139,,711.0,1
615056,Zhejiang Tongxuan Medical Technology,1,V367032,2020-09-09,Unspecified Round,UNSPEC,,,,,0
615056,Zhejiang Tongxuan Medical Technology,2,V367034,2022-12-13,Unspecified Round,UNSPEC,,,,1091.0,1
615175,"UpDoc, Inc.",1,V367097,2024-01-04,Unspecified Round,UNSPEC,,,,704.0,1
615212,The Self Space Limited,1,V367135,2024-01-05,Seed,Seed,2.85,1.3480731482996928,,703.0,1
615228,Linstant,1,V367197,2021-10-15,Unspecified Round,UNSPEC,,,,,0
615228,Linstant,2,V367143,2024-01-08,Series B,Series B,14.04,2.7107133185216936,,700.0,1
615258,"Joon App, Inc",1,V367177,2023-08-23,Unspecified Round,UNSPEC,6.4,2.0014800002101243,,838.0,1
615317,Fertsy,1,V367209,2024-01-08,Angel,ANGEL,,,,700.0,1
615335,Lykos Therapeutics,1,V367236,2024-01-05,Series A,Series A,,,,,0
615335,Lykos Therapeutics,2,V372086,2024-01-05,Venture Debt,DEBT,,,,703.0,1
615340,Ruili Guangdian,1,V367218,2023-11-16,Unspecified Round,UNSPEC,,,,,0
615340,Ruili Guangdian,2,V367221,2024-01-06,Unspecified Round,UNSPEC,,,,702.0,1
615405,NeuroBell Ltd.,1,V367293,2024-01-08,Unspecified Round,UNSPEC,2.3,1.1939224684724346,,700.0,1
615430,Advesya,1,V367306,2022-07-21,Series A,Series A,3.07,1.4036429994545037,,1236.0,1
615435,"Care Continuity, Inc.",1,V367366,2023-10-06,Series A,Series A,10.0,2.3978952727983707,,794.0,1
615631,"Wthn, LLC",1,V367461,2024-01-08,Series A,Series A,5.0,1.791759469228055,,700.0,1
615658,Qianren Pharmaceutical,1,V367501,2023-05-25,Unspecified Round,UNSPEC,,,,,0
615658,Qianren Pharmaceutical,2,V367506,2024-01-09,Series A,Series A,14.04,2.7107133185216936,,699.0,1
615779,"Via Scientific, Inc.",1,V367567,2023-10-15,Seed,Seed,4.52,1.7083778602890038,,785.0,1
615798,MYHIXEL,1,V367572,2024-01-09,Unspecified Round,UNSPEC,1.53,0.9282193027394289,1.34,699.0,1
615821,Koite Health Oy,1,V367589,2024-01-09,Unspecified Round,UNSPEC,4.38,1.682688374173693,1.53,699.0,1
615845,OmniLife Health,1,V367611,2022-05-01,Unspecified Round,UNSPEC,,,,1317.0,1
615859,"Vita Health, PLLC.",1,V367630,2024-01-09,Series A,Series A,22.5,3.157000421150113,,699.0,1
616023,Avamed Synergy,1,V367762,2024-01-09,Unspecified Round,UNSPEC,0.88,0.6312717768418579,0.24,699.0,1
616062,Cercare Medical A/S,1,V411023,2016-07-01,Unspecified Round,UNSPEC,,,,3447.0,1
616097,"Artisight, Inc.",1,V367807,2024-01-10,Series B,Series B,42.0,3.7612001156935624,,698.0,1
616129,KeyLights,1,V367861,2024-01-12,Unspecified Round,UNSPEC,14.01,2.7087166456453704,,696.0,1
616136,Better MedTech,1,V367860,2021-11-01,Angel,ANGEL,,,,,0
616136,Better MedTech,2,V367864,2022-10-19,Unspecified Round,UNSPEC,,,,,0
616136,Better MedTech,3,V367866,2023-04-13,Unspecified Round,UNSPEC,,,,,0
616136,Better MedTech,4,V367873,2024-01-12,Unspecified Round,UNSPEC,14.01,2.7087166456453704,,696.0,1
616185,Fuhan,1,V367893,2022-02-16,Unspecified Round,UNSPEC,,,,,0
616185,Fuhan,2,V367898,2024-01-12,Series A,Series A,,,,696.0,1
616199,"Shanghai Ruiyiwei Medical Technology Co., Ltd.",1,V367894,2023-12-26,Unspecified Round,UNSPEC,,,,,0
616199,"Shanghai Ruiyiwei Medical Technology Co., Ltd.",2,V389917,2024-06-20,Unspecified Round,UNSPEC,,,,536.0,1
616206,Ace Cardio,1,V367908,2023-12-25,Unspecified Round,UNSPEC,,,,714.0,1
616215,HugeMed,1,V367912,2020-11-03,Unspecified Round,UNSPEC,,,,,0
616215,HugeMed,2,V367914,2022-11-04,Unspecified Round,UNSPEC,,,,,0
616215,HugeMed,3,V367917,2023-12-22,Unspecified Round,UNSPEC,,,,717.0,1
616285,"Handl Health, Inc.",1,V378641,2024-04-24,Seed,Seed,2.5,1.252762968495368,,,0
616285,"Handl Health, Inc.",2,V378650,2024-04-24,Grant,GRANT,1.3,0.832909122935104,,593.0,1
616380,"Avante Health, Inc.",1,V368011,2023-10-23,Seed,Seed,10.0,2.3978952727983707,,777.0,1
616405,Yimuhe,1,V368027,2023-12-20,Unspecified Round,UNSPEC,,,,719.0,1
616410,Alpmed,1,V368031,2024-01-15,Unspecified Round,UNSPEC,14.01,2.7087166456453704,,693.0,1
616417,Enjosim,1,V368038,2022-06-20,Unspecified Round,UNSPEC,,,,,0
616417,Enjosim,2,V368039,2024-01-15,Unspecified Round,UNSPEC,,,,,0
616417,Enjosim,3,V393503,2024-09-09,Series A,Series A,14.11,2.715356776284648,,455.0,1
616472,"Vital View Technologies, Inc.",1,V368078,2023-12-05,Seed,Seed,5.5,1.8718021769015913,,734.0,1
616473,Tianchen (Tianjin) Biotechnology,1,V368075,2023-12-20,Unspecified Round,UNSPEC,,,,719.0,1
616490,Butel,1,V368099,2020-12-29,Unspecified Round,UNSPEC,,,,,0
616490,Butel,2,V368101,2023-12-19,Unspecified Round,UNSPEC,,,,720.0,1
616533,Electrophysiology Division of Galvanize Therapeutics,1,V368133,2024-01-11,Add-on,ADDON,,,,697.0,1
616542,MIM Fertility,1,V368137,2023-12-05,Seed,Seed,2.0,1.0986122886681096,0.92,734.0,1
616547,"MimiVax, Inc.",1,V368140,2024-01-09,Unspecified Round,UNSPEC,,,,699.0,1
616596,Zhiyi Huiyun,1,V368170,2024-01-12,Unspecified Round,UNSPEC,28.03,3.3683297780365384,,696.0,1
616667,"Melon Co., Ltd.",1,V368214,2024-01-16,Unspecified Round,UNSPEC,0.83,0.6043159668533296,,692.0,1
616672,TsingMeta,1,V368220,2024-01-15,Angel,ANGEL,,,,693.0,1
616936,Kamedi GmbH,1,V368630,2021-03-29,Seed,Seed,,,,1715.0,1
616945,Truelli,1,V368415,2023-05-01,Unspecified Round,UNSPEC,,,,952.0,1
617053,HengMicro,1,V368501,2023-12-06,Angel,ANGEL,,,,733.0,1
617131,Huitian Health,1,V368573,2023-12-06,Unspecified Round,UNSPEC,,,,733.0,1
617237,Vgenomics India Private Limited,1,V368660,2023-12-18,Seed,Seed,0.23,0.20701416938432615,,721.0,1
617265,Bolt Navigation,1,V368687,2021-11-30,Series A,Series A,2.25,1.1786549963416462,,,0
